vehicle_id,model_year,total_distance_km,fuel_type,fuel_efficiency_l100km,mileage_empty_kmpl,mileage_loaded_kmpl,pickup_time_0to60s,max_load_kg,typical_load_kg,cooling_efficiency_percent,refrigerant_type,cooling_power_kw,target_temp_c,years_in_service,annual_distance_km,maintenance_hours,service_area
VH00049,2022,282425,Diesel,36.0,4.0,2.8,17.0,20000,13271,90.5,R-452A,19.9,-18,2,112970,3530,Uppal
VH00050,2022,129950,Diesel,29.2,4.9,3.4,19.0,8000,6102,93.9,R-452A,17.7,-20,2,51980,1624,PVNR_Expressway
VH00051,2023,156624,Diesel,39.5,3.6,2.5,22.7,12000,10617,93.4,R-452A,10.9,2,1,104416,1957,Gachibowli
VH00052,2020,457306,Diesel,30.0,4.8,3.3,15.9,20000,17828,84.7,R-404A,21.8,-20,4,101623,5716,PVNR_Expressway
VH00053,2021,402400,Diesel,30.1,4.7,3.3,21.9,20000,15208,87.2,R-452A,22.5,2,3,114971,5030,Kompally
VH00054,2023,157967,Diesel,34.8,4.1,2.9,15.5,8000,5796,90.7,R-452A,11.2,4,1,105311,1974,HITEC_City_Main_Road
VH00055,2019,489665,Diesel,37.2,3.8,2.7,21.3,8000,4800,85.7,R-404A,18.2,-20,5,89030,6120,Gachibowli
VH00056,2022,258366,Electric,0.0,6.5,4.6,10.6,5000,3058,82.8,R-404A,11.1,-20,2,103346,3229,Mehdipatnam
VH00057,2022,164713,Electric,0.0,5.9,4.2,12.5,20000,15485,95.3,R-404A,12.3,4,2,65885,2058,L B Nagar
VH00058,2024,49663,Diesel,26.5,5.4,3.8,16.5,8000,5013,90.1,R-404A,20.8,-20,0,99326,620,HITEC_City_Main_Road
VH00059,2020,338992,Diesel,28.9,4.9,3.5,15.5,8000,5999,80.8,R-452A,17.7,4,4,75331,4237,HITEC_City_Main_Road
VH00060,2021,265237,Diesel,31.5,4.5,3.2,22.1,8000,6732,90.6,R-452A,14.4,-20,3,75782,3315,Mehdipatnam
VH00061,2015,936695,Hybrid,28.8,5.0,3.5,16.1,20000,16105,80.7,R-452A,11.9,-20,9,98599,11708,HITEC_City_Main_Road
VH00062,2024,30782,Diesel,26.0,5.5,3.8,21.8,12000,9894,97.0,R-452A,10.6,2,0,61565,384,HITEC_City_Main_Road
VH00063,2020,254519,Hybrid,22.6,6.3,4.4,12.7,12000,10275,82.5,R-452A,11.5,4,4,56559,3181,PVNR_Expressway
VH00064,2024,43860,Diesel,39.9,3.6,2.5,17.3,5000,3862,93.0,R-452A,20.9,4,0,87721,548,PVNR_Expressway
VH00065,2016,926929,Diesel,45.5,3.1,2.2,23.6,12000,9319,83.0,R-452A,15.0,-18,8,109050,11586,L B Nagar
VH00066,2023,107277,Diesel,29.5,4.8,3.4,22.0,20000,15409,94.8,R-452A,13.1,-18,1,71518,1340,Mehdipatnam
VH00067,2024,41942,Diesel,32.2,4.4,3.1,20.5,8000,5397,97.6,R-404A,13.2,2,0,83884,524,L B Nagar
VH00068,2021,240104,Diesel,29.4,4.9,3.4,15.3,12000,9771,83.0,R-452A,20.8,-20,3,68601,3001,PVNR_Expressway
VH00069,2024,49745,Diesel,40.5,3.5,2.5,24.4,12000,7815,86.7,R-404A,16.9,2,0,99490,621,PVNR_Expressway
VH00070,2017,850652,Diesel,30.3,4.7,3.3,24.6,20000,12156,87.6,R-452A,16.1,2,7,113420,10633,Gachibowli
VH00071,2017,453406,Diesel,45.9,3.1,2.2,17.2,20000,12670,77.2,R-404A,24.2,-20,7,60454,5667,Uppal
VH00072,2023,179690,Diesel,31.3,4.6,3.2,17.3,12000,8342,93.6,R-404A,21.9,2,1,119793,2246,Medchal
VH00073,2022,237843,Diesel,28.1,5.1,3.6,23.0,8000,7162,95.0,R-452A,18.1,4,2,95137,2973,Kompally
VH00074,2021,396121,Hybrid,24.4,5.9,4.1,15.6,5000,3387,86.0,R-404A,21.3,-18,3,113177,4951,Uppal
VH00075,2019,474205,Diesel,38.7,3.7,2.6,20.6,5000,4496,88.8,R-404A,12.5,4,5,86219,5927,Kompally
VH00076,2018,342427,Diesel,43.7,3.3,2.3,21.6,8000,6287,86.0,R-452A,16.7,2,6,52681,4280,PVNR_Expressway
VH00077,2024,27815,Diesel,27.8,5.1,3.6,22.1,20000,16282,98.2,R-404A,24.2,2,0,55631,347,Kompally
VH00078,2023,75040,Diesel,26.8,5.3,3.7,24.8,5000,4197,96.7,R-452A,16.0,-20,1,50026,938,L B Nagar
VH00079,2024,36364,Diesel,29.3,4.9,3.4,16.1,12000,8409,91.0,R-404A,22.9,-18,0,72728,454,Mehdipatnam
VH00080,2023,112165,Diesel,39.7,3.6,2.5,16.1,8000,6233,86.9,R-452A,10.8,2,1,74777,1402,HITEC_City_Main_Road
VH00081,2024,48782,Diesel,39.3,3.6,2.5,18.9,12000,9037,88.3,R-452A,17.5,4,0,97565,609,Kompally
VH00082,2022,134967,Diesel,34.2,4.2,2.9,22.1,5000,3573,82.7,R-452A,24.5,2,2,53987,1687,HITEC_City_Main_Road
VH00083,2015,985064,Hybrid,32.4,4.4,3.1,14.1,12000,7214,79.5,R-452A,22.6,-18,9,103690,12313,Mehdipatnam
VH00084,2020,232136,Diesel,32.4,4.4,3.1,24.0,8000,6495,80.2,R-452A,15.8,-18,4,51585,2901,Medchal
VH00085,2022,224190,Diesel,30.0,4.8,3.3,17.2,20000,16494,83.1,R-404A,20.4,-18,2,89676,2802,PVNR_Expressway
VH00086,2021,379069,Diesel,33.2,4.3,3.0,24.6,8000,6161,81.0,R-404A,14.5,-18,3,108305,4738,L B Nagar
VH00087,2022,230230,Hybrid,26.9,5.3,3.7,12.6,12000,10525,94.2,R-452A,15.5,-18,2,92092,2877,L B Nagar
VH00088,2020,228507,Diesel,28.4,5.0,3.5,22.0,20000,12418,89.3,R-452A,18.9,4,4,50779,2856,Mehdipatnam
VH00089,2021,333413,Hybrid,29.2,4.9,3.4,16.9,8000,5036,82.9,R-404A,20.9,-20,3,95260,4167,Uppal
VH00090,2023,155035,Diesel,30.5,4.7,3.3,20.2,8000,5970,84.5,R-404A,14.1,-20,1,103356,1937,HITEC_City_Main_Road
VH00091,2024,37033,Diesel,34.0,4.2,2.9,24.1,12000,10549,85.6,R-404A,24.7,-20,0,74067,462,PVNR_Expressway
VH00092,2023,111386,Diesel,31.5,4.5,3.2,15.3,20000,14496,91.5,R-404A,22.5,-20,1,74257,1392,PVNR_Expressway
VH00093,2019,403615,Diesel,29.6,4.8,3.4,23.7,20000,15695,82.9,R-404A,12.4,-18,5,73384,5045,Gachibowli
VH00094,2020,378015,Diesel,40.3,3.5,2.5,21.6,5000,3693,83.6,R-404A,17.4,-20,4,84003,4725,Mehdipatnam
VH00095,2017,474068,Diesel,47.4,3.0,2.1,19.1,20000,16833,80.4,R-452A,22.1,-20,7,63209,5925,Kompally
VH00096,2021,196295,Diesel,30.8,4.6,3.2,23.6,12000,9989,83.4,R-452A,19.0,-20,3,56084,2453,Medchal
VH00097,2024,57821,Diesel,33.5,4.3,3.0,21.6,5000,4311,97.9,R-404A,18.9,4,0,115643,722,Gachibowli
VH00098,2022,223011,Diesel,32.9,4.3,3.0,24.4,12000,8890,90.6,R-452A,13.0,-20,2,89204,2787,Gachibowli
VH00099,2020,382067,Diesel,32.3,4.4,3.1,20.8,12000,8939,87.9,R-404A,12.4,-20,4,84903,4775,PVNR_Expressway
VH00100,2024,54939,Hybrid,24.2,5.9,4.1,16.2,12000,7257,95.7,R-404A,10.8,-18,0,109879,686,Gachibowli
VH00101,2022,179024,Diesel,38.9,3.7,2.6,20.6,12000,7412,93.6,R-452A,18.6,-18,2,71609,2237,Uppal
VH00102,2024,31718,Diesel,36.6,3.9,2.7,17.9,12000,7454,98.5,R-404A,13.8,-20,0,63436,396,Uppal
VH00103,2018,572042,Diesel,31.0,4.6,3.2,15.5,20000,17609,85.1,R-404A,11.6,2,6,88006,7150,PVNR_Expressway
VH00104,2022,182427,Hybrid,21.9,6.5,4.6,14.7,5000,3782,89.3,R-404A,20.2,4,2,72970,2280,HITEC_City_Main_Road
VH00105,2023,137919,Diesel,33.5,4.3,3.0,22.7,20000,15420,97.2,R-404A,13.4,-20,1,91946,1723,L B Nagar
VH00106,2015,856285,Diesel,33.8,4.2,3.0,20.4,5000,3104,76.5,R-452A,16.0,4,9,90135,10703,Kompally
VH00107,2015,983763,Diesel,40.7,3.5,2.5,18.4,12000,10568,80.8,R-404A,20.0,4,9,103554,12297,Uppal
VH00108,2022,235369,Diesel,31.4,4.6,3.2,20.3,20000,17325,94.6,R-452A,11.3,2,2,94147,2942,Gachibowli
VH00109,2020,450653,Diesel,32.0,4.5,3.1,19.6,5000,3244,92.2,R-452A,20.7,4,4,100145,5633,Gachibowli
VH00110,2019,379112,Diesel,38.2,3.7,2.6,18.2,20000,17542,78.5,R-452A,22.1,4,5,68929,4738,Medchal
VH00111,2021,369498,Diesel,35.0,4.1,2.9,21.7,8000,6096,84.1,R-452A,14.5,-18,3,105571,4618,Medchal
VH00112,2020,517122,Hybrid,26.8,5.3,3.7,16.3,20000,14935,83.6,R-404A,10.8,-20,4,114916,6464,Uppal
VH00113,2022,249214,Electric,0.0,5.9,4.1,10.5,20000,13748,88.1,R-452A,13.6,2,2,99685,3115,Uppal
VH00114,2024,38479,Diesel,40.2,3.6,2.5,15.0,8000,6034,95.7,R-404A,21.2,2,0,76959,480,PVNR_Expressway
VH00115,2020,423615,Diesel,29.2,4.9,3.4,16.9,12000,7855,85.8,R-404A,23.8,-20,4,94136,5295,Mehdipatnam
VH00116,2023,168624,Electric,0.0,6.0,4.2,12.8,20000,12627,84.3,R-404A,19.7,2,1,112416,2107,Uppal
VH00117,2020,394741,Hybrid,24.8,5.8,4.0,13.7,20000,12700,86.2,R-404A,10.7,4,4,87720,4934,Gachibowli
VH00118,2021,187651,Hybrid,25.4,5.6,3.9,19.9,12000,10536,92.0,R-404A,13.5,2,3,53614,2345,Gachibowli
VH00119,2018,707541,Diesel,40.3,3.5,2.5,17.9,20000,12660,79.3,R-404A,24.5,4,6,108852,8844,Mehdipatnam
VH00120,2024,41989,Hybrid,27.9,5.1,3.6,12.4,12000,7742,98.8,R-452A,11.0,4,0,83978,524,Medchal
VH00121,2021,228977,Diesel,32.1,4.5,3.1,21.3,8000,5159,84.2,R-404A,18.3,-18,3,65422,2862,PVNR_Expressway
VH00122,2019,598629,Electric,0.0,7.2,5.0,14.5,5000,3371,79.2,R-452A,16.5,-18,5,108841,7482,Medchal
VH00123,2023,156578,Diesel,29.6,4.8,3.4,15.6,5000,3436,85.5,R-452A,24.1,2,1,104385,1957,Uppal
VH00124,2017,718588,Diesel,33.9,4.2,2.9,23.3,20000,13348,85.6,R-404A,10.3,2,7,95811,8982,L B Nagar
VH00125,2015,846696,Diesel,42.0,3.4,2.4,18.3,20000,17466,79.6,R-452A,13.7,4,9,89125,10583,L B Nagar
VH00126,2023,113359,Diesel,34.8,4.1,2.9,22.4,20000,16022,92.1,R-452A,12.3,2,1,75573,1416,PVNR_Expressway
VH00127,2024,37097,Diesel,26.1,5.5,3.8,20.1,20000,13147,86.4,R-452A,16.7,-18,0,74194,463,PVNR_Expressway
VH00128,2015,1066457,Hybrid,29.0,4.9,3.5,12.9,8000,6325,83.5,R-404A,17.3,2,9,112258,13330,Uppal
VH00129,2020,359842,Diesel,37.1,3.8,2.7,25.0,20000,16343,83.9,R-452A,20.4,4,4,79964,4498,L B Nagar
VH00130,2020,469418,Diesel,39.5,3.6,2.5,17.4,5000,3112,86.2,R-404A,17.8,2,4,104315,5867,Gachibowli
VH00131,2020,435490,Electric,0.0,6.0,4.2,12.3,20000,14972,89.2,R-404A,12.4,-20,4,96775,5443,Mehdipatnam
VH00132,2015,508080,Diesel,45.8,3.1,2.2,22.7,20000,12433,75.4,R-404A,23.3,-18,9,53482,6351,Mehdipatnam
VH00133,2021,244209,Diesel,42.4,3.4,2.4,21.8,8000,6135,93.5,R-452A,19.8,-18,3,69774,3052,HITEC_City_Main_Road
VH00134,2018,513246,Diesel,31.5,4.5,3.2,17.2,20000,17618,84.4,R-404A,12.3,2,6,78961,6415,Mehdipatnam
VH00135,2023,123472,Electric,0.0,6.8,4.8,16.1,5000,3141,96.1,R-404A,24.4,2,1,82315,1543,HITEC_City_Main_Road
VH00136,2020,414409,Diesel,42.4,3.4,2.4,21.0,12000,8834,83.6,R-404A,17.1,2,4,92090,5180,Gachibowli
VH00137,2016,1014937,Electric,0.0,5.5,3.8,10.8,5000,3540,85.0,R-452A,15.7,2,8,119404,12686,Mehdipatnam
VH00138,2017,552085,Diesel,31.2,4.6,3.2,21.2,5000,3336,74.8,R-452A,15.9,2,7,73611,6901,HITEC_City_Main_Road
VH00139,2023,178046,Diesel,35.6,4.0,2.8,23.2,5000,4066,86.2,R-452A,21.5,-20,1,118697,2225,HITEC_City_Main_Road
VH00140,2022,193071,Diesel,40.7,3.5,2.5,16.1,8000,6069,83.1,R-452A,15.0,-20,2,77228,2413,PVNR_Expressway
VH00141,2020,262536,Electric,0.0,5.7,4.0,16.7,12000,7355,90.2,R-452A,15.2,4,4,58341,3281,HITEC_City_Main_Road
VH00142,2022,219059,Diesel,35.3,4.0,2.8,21.4,5000,3562,94.7,R-452A,17.1,4,2,87623,2738,L B Nagar
VH00143,2022,221818,Diesel,40.6,3.5,2.5,16.9,5000,3941,90.8,R-404A,10.4,4,2,88727,2772,L B Nagar
VH00144,2017,718461,Diesel,30.9,4.6,3.2,23.1,20000,17921,84.7,R-404A,25.0,2,7,95794,8980,Mehdipatnam
VH00145,2020,319252,Diesel,32.9,4.3,3.0,23.6,12000,8457,89.7,R-452A,13.6,-20,4,70944,3990,L B Nagar
VH00146,2021,304893,Diesel,36.1,4.0,2.8,19.0,5000,3566,89.3,R-452A,19.4,4,3,87112,3811,Gachibowli
VH00147,2024,55687,Diesel,26.1,5.5,3.8,19.9,8000,6256,91.7,R-452A,24.9,2,0,111375,696,HITEC_City_Main_Road
VH00148,2018,690416,Diesel,30.6,4.7,3.3,20.0,8000,5916,83.3,R-404A,22.5,-18,6,106217,8630,PVNR_Expressway
VH00149,2024,46594,Diesel,34.0,4.2,2.9,23.9,8000,5659,88.7,R-404A,23.3,-18,0,93189,582,Mehdipatnam
VH00150,2024,46285,Hybrid,21.1,6.8,4.7,15.9,5000,3588,94.9,R-452A,24.6,-20,0,92570,578,L B Nagar
VH00151,2023,95282,Hybrid,25.1,5.7,4.0,18.3,8000,5483,86.1,R-452A,16.8,-20,1,63521,1191,Uppal
VH00152,2016,438137,Electric,0.0,6.6,4.6,12.0,20000,13888,79.9,R-452A,12.9,-20,8,51545,5476,L B Nagar
VH00153,2017,726637,Hybrid,28.4,5.0,3.5,15.1,8000,6232,86.4,R-404A,11.5,2,7,96884,9082,Gachibowli
VH00154,2018,373388,Hybrid,30.7,4.6,3.3,16.2,12000,9998,76.6,R-452A,18.7,2,6,57444,4667,Gachibowli
VH00155,2019,299871,Hybrid,26.0,5.5,3.8,19.5,20000,17590,86.5,R-404A,19.0,2,5,54522,3748,Gachibowli
VH00156,2024,29961,Hybrid,24.4,5.9,4.1,14.4,20000,12287,96.6,R-452A,17.5,2,0,59922,374,L B Nagar
VH00157,2023,175425,Diesel,32.8,4.4,3.1,16.9,12000,10345,95.1,R-404A,11.4,2,1,116950,2192,Kompally
VH00158,2017,496164,Electric,0.0,6.0,4.2,14.9,12000,9662,80.2,R-452A,12.2,-20,7,66155,6202,Medchal
VH00159,2017,391250,Hybrid,26.9,5.3,3.7,18.7,20000,17976,75.5,R-452A,18.7,-20,7,52166,4890,L B Nagar
VH00160,2019,445642,Diesel,44.2,3.2,2.3,19.2,12000,8478,87.3,R-452A,16.9,-20,5,81025,5570,PVNR_Expressway
VH00161,2018,418189,Hybrid,24.8,5.8,4.0,15.8,5000,3839,77.8,R-452A,10.9,-18,6,64336,5227,Gachibowli
VH00162,2020,455326,Diesel,31.4,4.6,3.2,15.4,8000,6857,81.0,R-452A,18.5,2,4,101183,5691,HITEC_City_Main_Road
VH00163,2023,179853,Diesel,31.1,4.6,3.2,24.7,20000,12818,96.1,R-452A,16.4,2,1,119902,2248,Medchal
VH00164,2018,670185,Hybrid,26.6,5.4,3.8,19.5,8000,6772,89.6,R-452A,10.3,-18,6,103105,8377,Mehdipatnam
VH00165,2024,29869,Hybrid,28.4,5.0,3.5,17.8,12000,8052,86.1,R-452A,15.2,-20,0,59739,373,Medchal
VH00166,2022,207315,Electric,0.0,6.1,4.3,16.4,8000,6718,90.4,R-452A,20.5,-18,2,82926,2591,Kompally
VH00167,2024,51407,Hybrid,27.6,5.2,3.6,17.7,8000,5826,98.3,R-404A,23.8,2,0,102815,642,HITEC_City_Main_Road
VH00168,2022,237702,Hybrid,24.9,5.7,4.0,15.2,12000,8193,82.1,R-452A,20.3,-20,2,95080,2971,Medchal
VH00169,2021,248302,Diesel,40.9,3.5,2.4,22.2,8000,6205,81.7,R-452A,19.6,-20,3,70943,3103,PVNR_Expressway
VH00170,2015,695340,Diesel,44.3,3.2,2.3,22.6,20000,17529,79.8,R-452A,12.1,2,9,73193,8691,Medchal
VH00171,2015,858287,Diesel,45.6,3.1,2.2,20.6,20000,17440,78.5,R-452A,20.8,-20,9,90346,10728,Kompally
VH00172,2023,173128,Hybrid,22.3,6.4,4.5,19.6,5000,4186,93.6,R-452A,21.4,2,1,115419,2164,HITEC_City_Main_Road
VH00173,2021,294324,Diesel,41.5,3.4,2.4,19.2,8000,4818,87.8,R-404A,15.0,2,3,84092,3679,Medchal
VH00174,2015,573105,Diesel,39.6,3.6,2.5,20.4,12000,8733,74.6,R-452A,18.9,4,9,60326,7163,L B Nagar
VH00175,2021,381126,Hybrid,22.4,6.4,4.5,15.2,8000,6377,84.4,R-452A,20.8,4,3,108893,4764,Uppal
VH00176,2023,143951,Diesel,39.5,3.6,2.5,21.5,5000,3742,93.0,R-452A,24.3,4,1,95967,1799,Mehdipatnam
VH00177,2017,582222,Electric,0.0,6.8,4.7,11.6,12000,9563,75.4,R-404A,14.0,4,7,77629,7277,Uppal
VH00178,2024,27177,Diesel,39.0,3.7,2.6,16.5,5000,3954,95.5,R-452A,17.9,4,0,54354,339,PVNR_Expressway
VH00179,2019,372843,Diesel,39.7,3.6,2.5,17.6,5000,3736,78.4,R-452A,24.3,-20,5,67789,4660,HITEC_City_Main_Road
VH00180,2024,39040,Diesel,29.6,4.8,3.4,24.2,8000,5097,94.6,R-452A,10.8,-18,0,78080,488,Uppal
VH00181,2020,265224,Electric,0.0,6.0,4.2,11.8,12000,7880,92.3,R-452A,14.6,2,4,58938,3315,PVNR_Expressway
VH00182,2020,273274,Diesel,34.6,4.1,2.9,18.3,20000,13241,89.5,R-404A,23.5,-20,4,60727,3415,L B Nagar
VH00183,2024,50645,Diesel,26.7,5.4,3.7,18.0,20000,12242,95.5,R-452A,23.7,-20,0,101291,633,Kompally
VH00184,2020,441248,Electric,0.0,7.3,5.1,12.7,20000,12471,84.0,R-452A,10.7,-20,4,98055,5515,Mehdipatnam
VH00185,2023,172755,Diesel,27.2,5.2,3.7,17.9,8000,6297,88.9,R-452A,15.5,2,1,115170,2159,Gachibowli
VH00186,2020,504713,Electric,0.0,5.8,4.1,16.0,12000,9656,90.5,R-404A,13.7,2,4,112158,6308,HITEC_City_Main_Road
VH00187,2015,678763,Diesel,45.4,3.1,2.2,19.0,8000,5797,75.2,R-452A,15.1,-20,9,71448,8484,PVNR_Expressway
VH00188,2017,736987,Diesel,37.6,3.8,2.7,16.3,8000,5327,76.7,R-404A,22.7,2,7,98265,9212,HITEC_City_Main_Road
VH00189,2023,128198,Electric,0.0,6.5,4.6,13.0,8000,6702,92.3,R-404A,23.1,4,1,85465,1602,Kompally
VH00190,2024,44100,Diesel,36.8,3.9,2.7,24.8,20000,12837,89.4,R-452A,21.4,-18,0,88200,551,HITEC_City_Main_Road
VH00191,2016,861279,Diesel,34.9,4.1,2.9,17.1,8000,6331,73.9,R-452A,20.7,-20,8,101326,10765,Medchal
VH00192,2020,368068,Hybrid,29.5,4.8,3.4,12.9,5000,3176,91.8,R-452A,14.0,-18,4,81792,4600,PVNR_Expressway
VH00193,2023,109287,Diesel,35.2,4.1,2.8,19.6,12000,9358,90.5,R-452A,16.7,-18,1,72858,1366,Medchal
VH00194,2023,134376,Diesel,34.8,4.1,2.9,18.5,8000,7131,88.1,R-404A,21.5,-20,1,89584,1679,HITEC_City_Main_Road
VH00195,2023,78071,Diesel,27.5,5.2,3.6,18.6,5000,3678,89.7,R-404A,11.6,4,1,52047,975,Uppal
VH00196,2022,182925,Diesel,30.7,4.7,3.3,18.7,20000,14994,87.3,R-452A,16.6,-18,2,73170,2286,Kompally
VH00197,2024,36290,Diesel,37.6,3.8,2.7,22.0,20000,14263,94.7,R-452A,22.8,4,0,72580,453,PVNR_Expressway
