route,time_start,time_end,range_km,freeFlowSpeed,currentSpeed,freeFlowTravelTime,currentTravelTime,traffic_index,day_of_the_week,season,most_probable_vehicle_type,pollution_index,date,is_peak,distribution_cost,customer_satisfaction,quality_score,time_deviation,vehicle_id
HITEC_City_Main_Road,01:00:00,02:00:00,8.5,67,65,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,330.34,5.0,91.4,-2.1,VH39262
Kompally,02:00:00,03:00:00,6.0,82,81,4,4,10,Wednesday,Winter,4W,0.2,2025-01-01,0,246.64,5.0,83.2,-1.3,VH06083
Gachibowli,02:00:00,03:00:00,7.5,61,58,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,366.94,5.0,74.6,-1.9,VH28286
Uppal,02:00:00,03:00:00,15.0,56,54,16,16,10,Wednesday,Winter,4W,0.2,2025-01-01,0,396.06,5.0,95.9,-4.4,VH39001
Mehdipatnam,02:00:00,03:00:00,5.0,46,44,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,262.51,5.0,79.5,-1.7,VH17537
Medchal,02:00:00,03:00:00,12.0,84,79,8,9,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,458.04,5.0,95.1,-2.0,VH32118
L B Nagar,02:00:00,03:00:00,8.0,52,49,9,9,10,Wednesday,Winter,2W,0.2,2025-01-01,0,421.45,5.0,82.1,-2.4,VH24360
PVNR_Expressway,02:00:00,03:00:00,11.6,90,88,7,7,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,458.72,5.0,93.1,-2.2,VH15518
HITEC_City_Main_Road,02:00:00,03:00:00,8.5,69,65,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,305.06,5.0,92.9,-1.8,VH17234
Kompally,03:00:00,04:00:00,6.0,91,89,3,4,10,Wednesday,Winter,2W,0.2,2025-01-01,0,246.87,5.0,94.4,-1.1,VH23131
Gachibowli,03:00:00,04:00:00,7.5,69,66,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,262.33,5.0,78.4,-1.7,VH30163
Uppal,03:00:00,04:00:00,15.0,50,47,18,19,10,Wednesday,Winter,4W,0.2,2025-01-01,0,568.19,5.0,82.2,-4.3,VH23155
Mehdipatnam,03:00:00,04:00:00,5.0,50,46,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,285.7,5.0,69.6,-1.4,VH06988
Medchal,03:00:00,04:00:00,12.0,91,88,7,8,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,480.17,5.0,67.4,-2.2,VH31237
L B Nagar,03:00:00,04:00:00,8.0,51,46,9,10,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,336.95,5.0,97.5,-2.0,VH18853
PVNR_Expressway,03:00:00,04:00:00,11.6,92,89,7,7,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,116.3,5.0,77.1,-2.0,VH32079
HITEC_City_Main_Road,03:00:00,04:00:00,8.5,55,50,9,10,10,Wednesday,Winter,4W,0.2,2025-01-01,0,440.16,5.0,62.9,-1.9,VH22579
Kompally,04:00:00,05:00:00,6.0,80,77,4,4,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,220.71,5.0,82.8,-1.2,VH09081
Gachibowli,04:00:00,05:00:00,7.5,62,57,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,296.49,5.0,83.4,-1.6,VH02536
Uppal,04:00:00,05:00:00,15.0,50,45,18,19,10,Wednesday,Winter,4W,0.2,2025-01-01,0,722.85,5.0,78.6,-3.4,VH09190
Mehdipatnam,04:00:00,05:00:00,5.0,51,49,5,6,10,Wednesday,Winter,3W,0.2,2025-01-01,0,90.54,5.0,83.4,-1.6,VH05816
Medchal,04:00:00,05:00:00,12.0,89,86,8,8,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,417.93,5.0,81.0,-2.2,VH33606
L B Nagar,04:00:00,05:00:00,8.0,56,53,8,9,10,Wednesday,Winter,2W,0.2,2025-01-01,0,329.87,5.0,88.9,-2.1,VH33321
PVNR_Expressway,04:00:00,05:00:00,11.6,82,78,8,8,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,150.02,5.0,67.8,-2.2,VH00491
HITEC_City_Main_Road,04:00:00,05:00:00,8.5,69,68,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,347.04,5.0,90.8,-2.1,VH06167
Kompally,05:00:00,06:00:00,6.0,92,91,3,3,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,229.72,5.0,81.4,-1.2,VH25176
Gachibowli,05:00:00,06:00:00,7.5,63,58,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,269.97,5.0,88.6,-1.6,VH22813
Uppal,05:00:00,06:00:00,15.0,49,48,18,18,10,Wednesday,Winter,4W,0.2,2025-01-01,0,567.21,5.0,86.1,-5.3,VH27964
Mehdipatnam,05:00:00,06:00:00,5.0,59,54,5,5,10,Wednesday,Winter,4W,0.2,2025-01-01,0,181.58,5.0,90.4,-1.1,VH10107
Medchal,05:00:00,06:00:00,12.0,94,91,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,370.46,5.0,97.5,-2.1,VH03832
L B Nagar,05:00:00,06:00:00,8.0,59,54,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,273.54,5.0,83.2,-1.7,VH34858
PVNR_Expressway,05:00:00,06:00:00,11.6,90,88,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,479.49,5.0,92.1,-2.2,VH19358
HITEC_City_Main_Road,05:00:00,06:00:00,8.5,60,55,8,9,10,Wednesday,Winter,4W,0.2,2025-01-01,0,438.94,5.0,77.1,-1.9,VH31272
Kompally,06:00:00,07:00:00,6.0,85,80,4,4,10,Wednesday,Winter,4W,0.2,2025-01-01,0,278.54,5.0,86.9,-1.0,VH29239
Gachibowli,06:00:00,07:00:00,7.5,59,58,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,359.36,5.0,83.9,-2.3,VH21390
Uppal,06:00:00,07:00:00,15.0,47,42,19,21,10,Wednesday,Winter,4W,0.2,2025-01-01,0,556.25,5.0,89.9,-3.7,VH00763
Mehdipatnam,06:00:00,07:00:00,5.0,49,48,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,287.17,5.0,78.6,-1.7,VH36415
Medchal,06:00:00,07:00:00,12.0,81,76,8,9,10,Wednesday,Winter,2W,0.2,2025-01-01,0,390.82,5.0,97.5,-2.1,VH38026
L B Nagar,06:00:00,07:00:00,8.0,46,45,10,10,10,Wednesday,Winter,4W,0.2,2025-01-01,0,277.11,5.0,92.2,-3.0,VH07118
PVNR_Expressway,06:00:00,07:00:00,11.6,87,82,8,8,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,424.63,5.0,90.3,-2.0,VH03647
HITEC_City_Main_Road,06:00:00,07:00:00,8.5,61,59,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,442.62,5.0,76.2,-2.3,VH02189
Kompally,07:00:00,08:00:00,6.0,82,80,4,4,10,Wednesday,Winter,4W,0.2,2025-01-01,0,236.76,5.0,92.9,-1.2,VH16823
Gachibowli,07:00:00,08:00:00,7.5,63,60,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,434.42,5.0,78.0,-1.8,VH02646
Uppal,07:00:00,08:00:00,15.0,53,51,16,17,10,Wednesday,Winter,3W,0.2,2025-01-01,0,482.73,5.0,88.6,-4.7,VH15076
Mehdipatnam,07:00:00,08:00:00,5.0,55,54,5,5,10,Wednesday,Winter,2W,0.2,2025-01-01,0,305.6,5.0,76.9,-1.6,VH34824
Medchal,07:00:00,08:00:00,12.0,82,81,8,8,10,Wednesday,Winter,2W,0.2,2025-01-01,0,424.87,5.0,93.1,-2.6,VH38722
L B Nagar,07:00:00,08:00:00,8.0,58,53,8,9,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,273.9,5.0,97.1,-1.7,VH01061
PVNR_Expressway,07:00:00,08:00:00,11.6,94,91,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,85.25,5.0,86.2,-2.0,VH39544
HITEC_City_Main_Road,07:00:00,08:00:00,8.5,59,57,8,8,10,Wednesday,Winter,3W,0.2,2025-01-01,0,428.8,5.0,79.9,-2.3,VH13892
Kompally,08:00:00,09:00:00,6.0,94,74,3,4,20,Wednesday,Winter,4W,0.305,2025-01-01,1,245.97,5.0,83.8,-0.2,VH39099
Gachibowli,08:00:00,09:00:00,7.5,60,40,7,11,32,Wednesday,Winter,4W,0.423,2025-01-01,1,431.87,5.0,71.2,1.3,VH37266
Uppal,08:00:00,09:00:00,15.0,50,22,18,40,55,Wednesday,Winter,3W,0.659,2025-01-01,1,679.0,5.0,65.8,17.4,VH14841
Mehdipatnam,08:00:00,09:00:00,5.0,45,28,6,10,36,Wednesday,Winter,3W,0.462,2025-01-01,1,295.68,5.0,84.2,1.8,VH08324
Medchal,08:00:00,09:00:00,12.0,89,59,8,12,33,Wednesday,Winter,HCV,0.432,2025-01-01,1,510.47,5.0,87.7,1.6,VH35199
L B Nagar,08:00:00,09:00:00,8.0,58,27,8,17,52,Wednesday,Winter,2W,0.629,2025-01-01,1,432.66,5.0,82.1,6.8,VH30769
PVNR_Expressway,08:00:00,09:00:00,11.6,87,57,8,12,33,Wednesday,Winter,4W,0.435,2025-01-01,1,367.56,5.0,86.1,1.6,VH14225
HITEC_City_Main_Road,08:00:00,09:00:00,8.5,57,37,8,13,34,Wednesday,Winter,3W,0.446,2025-01-01,1,510.15,5.0,66.2,2.0,VH09994
Kompally,09:00:00,10:00:00,6.0,85,50,4,7,40,Wednesday,Winter,2W,0.507,2025-01-01,1,270.36,5.0,85.2,1.6,VH30687
Gachibowli,09:00:00,10:00:00,7.5,59,32,7,13,44,Wednesday,Winter,2W,0.542,2025-01-01,1,350.36,5.0,76.4,3.8,VH19122
Uppal,09:00:00,10:00:00,15.0,58,20,15,44,65,Wednesday,Winter,2W,0.752,2025-01-01,1,788.37,5.0,69.8,24.4,VH34755
Mehdipatnam,09:00:00,10:00:00,5.0,46,32,6,9,29,Wednesday,Winter,3W,0.395,2025-01-01,1,282.38,5.0,72.7,0.8,VH14831
Medchal,09:00:00,10:00:00,12.0,92,73,7,9,20,Wednesday,Winter,4W,0.302,2025-01-01,1,458.15,5.0,79.8,-0.4,VH00630
L B Nagar,09:00:00,10:00:00,8.0,48,28,10,17,41,Wednesday,Winter,4W,0.513,2025-01-01,1,458.5,5.0,72.6,4.0,VH10235
PVNR_Expressway,09:00:00,10:00:00,11.6,92,62,7,11,32,Wednesday,Winter,HCV,0.421,2025-01-01,1,571.25,5.0,68.3,1.3,VH33684
HITEC_City_Main_Road,09:00:00,10:00:00,8.5,59,36,8,14,38,Wednesday,Winter,4W,0.487,2025-01-01,1,381.02,5.0,71.0,2.9,VH07958
Kompally,10:00:00,11:00:00,6.0,80,68,4,5,14,Wednesday,Winter,4W,0.242,2025-01-01,1,320.17,5.0,85.2,-0.6,VH15806
Gachibowli,10:00:00,11:00:00,7.5,69,35,6,12,48,Wednesday,Winter,2W,0.586,2025-01-01,1,374.42,5.0,77.5,4.2,VH02633
Uppal,10:00:00,11:00:00,15.0,48,38,18,23,19,Wednesday,Winter,2W,0.295,2025-01-01,1,126.53,5.0,92.4,-1.1,VH39611
Mehdipatnam,10:00:00,11:00:00,5.0,54,34,5,8,35,Wednesday,Winter,2W,0.453,2025-01-01,1,278.5,5.0,80.8,1.4,VH03820
Medchal,10:00:00,11:00:00,12.0,87,66,8,10,23,Wednesday,Winter,4W,0.335,2025-01-01,1,490.48,5.0,84.4,0.1,VH35346
L B Nagar,10:00:00,11:00:00,8.0,56,36,8,13,35,Wednesday,Winter,2W,0.451,2025-01-01,1,368.81,5.0,74.1,2.1,VH05299
PVNR_Expressway,10:00:00,11:00:00,11.6,85,53,8,12,36,Wednesday,Winter,2W,0.469,2025-01-01,1,536.95,5.0,69.9,2.3,VH12752
HITEC_City_Main_Road,10:00:00,11:00:00,8.5,68,26,7,19,60,Wednesday,Winter,4W,0.71,2025-01-01,1,510.84,5.0,69.9,9.5,VH23392
Kompally,11:00:00,12:00:00,6.0,85,67,4,5,21,Wednesday,Winter,4W,0.311,2025-01-01,1,245.71,5.0,82.3,-0.1,VH23968
Gachibowli,11:00:00,12:00:00,7.5,68,31,6,14,54,Wednesday,Winter,2W,0.642,2025-01-01,1,370.48,5.0,68.9,5.9,VH09563
Uppal,11:00:00,12:00:00,15.0,46,30,19,29,32,Wednesday,Winter,4W,0.429,2025-01-01,1,486.87,5.0,91.3,3.7,VH25144
Mehdipatnam,11:00:00,12:00:00,5.0,45,39,6,7,11,Wednesday,Winter,4W,0.213,2025-01-01,1,224.62,5.0,84.0,-1.1,VH27070
Medchal,11:00:00,12:00:00,12.0,88,73,8,9,17,Wednesday,Winter,2W,0.27,2025-01-01,1,421.55,5.0,83.0,-0.8,VH10852
L B Nagar,11:00:00,12:00:00,8.0,51,20,9,23,59,Wednesday,Winter,2W,0.694,2025-01-01,1,489.22,5.0,74.2,10.9,VH38200
PVNR_Expressway,11:00:00,12:00:00,11.6,84,66,8,10,20,Wednesday,Winter,4W,0.306,2025-01-01,1,484.33,5.0,79.1,-0.3,VH32888
HITEC_City_Main_Road,11:00:00,12:00:00,8.5,61,30,8,16,49,Wednesday,Winter,2W,0.596,2025-01-01,1,470.88,5.0,87.6,5.7,VH35934
Kompally,12:00:00,13:00:00,6.0,80,57,4,6,28,Wednesday,Winter,2W,0.384,2025-01-01,0,359.51,5.0,73.1,0.4,VH26117
Gachibowli,12:00:00,13:00:00,7.5,65,65,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,362.34,5.0,68.4,-2.1,VH23269
Uppal,12:00:00,13:00:00,15.0,47,47,19,19,10,Wednesday,Winter,2W,0.2,2025-01-01,0,657.16,5.0,84.3,-5.7,VH39587
Mehdipatnam,12:00:00,13:00:00,5.0,54,54,5,5,10,Wednesday,Winter,2W,0.2,2025-01-01,0,67.31,5.0,90.1,-1.7,VH31165
Medchal,12:00:00,13:00:00,12.0,84,67,8,10,19,Wednesday,Winter,HCV,0.298,2025-01-01,0,449.76,5.0,82.0,-0.5,VH28404
L B Nagar,12:00:00,13:00:00,8.0,54,54,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,429.3,5.0,66.1,-2.7,VH13608
PVNR_Expressway,12:00:00,13:00:00,11.6,91,56,7,12,38,Wednesday,Winter,2W,0.482,2025-01-01,0,482.15,5.0,71.8,2.4,VH36623
HITEC_City_Main_Road,12:00:00,13:00:00,8.5,68,50,7,10,25,Wednesday,Winter,2W,0.352,2025-01-01,0,324.82,5.0,75.6,0.3,VH01907
Kompally,13:00:00,14:00:00,6.0,91,58,3,6,35,Wednesday,Winter,2W,0.455,2025-01-01,0,284.53,5.0,78.2,1.0,VH26738
Gachibowli,13:00:00,14:00:00,7.5,60,60,7,7,10,Wednesday,Winter,2W,0.2,2025-01-01,0,264.48,5.0,84.4,-2.2,VH23107
Uppal,13:00:00,14:00:00,15.0,48,48,18,18,10,Wednesday,Winter,2W,0.2,2025-01-01,0,527.75,5.0,97.5,-5.6,VH30516
Mehdipatnam,13:00:00,14:00:00,5.0,50,50,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,257.7,5.0,78.6,-1.8,VH19445
Medchal,13:00:00,14:00:00,12.0,94,66,7,10,29,Wednesday,Winter,HCV,0.396,2025-01-01,0,348.79,5.0,81.0,0.9,VH15652
L B Nagar,13:00:00,14:00:00,8.0,47,47,10,10,10,Wednesday,Winter,2W,0.2,2025-01-01,0,295.01,5.0,90.6,-3.1,VH30704
PVNR_Expressway,13:00:00,14:00:00,11.6,80,60,8,11,23,Wednesday,Winter,4W,0.339,2025-01-01,0,464.36,5.0,94.0,0.1,VH26179
HITEC_City_Main_Road,13:00:00,14:00:00,8.5,68,68,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,294.73,5.0,88.1,-2.2,VH35102
Kompally,14:00:00,15:00:00,6.0,81,57,4,6,29,Wednesday,Winter,4W,0.395,2025-01-01,0,286.98,5.0,73.3,0.5,VH39471
Gachibowli,14:00:00,15:00:00,7.5,55,55,8,8,10,Wednesday,Winter,3W,0.2,2025-01-01,0,349.77,5.0,87.1,-2.5,VH23738
Uppal,14:00:00,15:00:00,15.0,57,50,15,17,11,Wednesday,Winter,3W,0.217,2025-01-01,0,507.7,5.0,84.2,-2.7,VH39101
Mehdipatnam,14:00:00,15:00:00,5.0,48,48,6,6,10,Wednesday,Winter,3W,0.2,2025-01-01,0,246.92,5.0,97.5,-1.9,VH35846
Medchal,14:00:00,15:00:00,12.0,94,73,7,9,21,Wednesday,Winter,2W,0.316,2025-01-01,0,471.02,5.0,90.9,-0.2,VH34525
L B Nagar,14:00:00,15:00:00,8.0,52,52,9,9,10,Wednesday,Winter,2W,0.2,2025-01-01,0,343.74,5.0,79.4,-2.8,VH06310
PVNR_Expressway,14:00:00,15:00:00,11.6,90,57,7,12,36,Wednesday,Winter,HCV,0.463,2025-01-01,0,183.76,5.0,66.8,2.1,VH20954
HITEC_City_Main_Road,14:00:00,15:00:00,8.5,58,58,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,398.47,5.0,81.6,-2.6,VH28851
Kompally,15:00:00,16:00:00,6.0,84,67,4,5,19,Wednesday,Winter,HCV,0.295,2025-01-01,0,296.04,5.0,84.8,-0.2,VH06811
Gachibowli,15:00:00,16:00:00,7.5,67,53,6,8,20,Wednesday,Winter,4W,0.303,2025-01-01,0,355.98,5.0,79.5,-0.3,VH20040
Uppal,15:00:00,16:00:00,15.0,56,50,16,17,10,Wednesday,Winter,4W,0.203,2025-01-01,0,498.56,5.0,82.7,-3.0,VH37363
Mehdipatnam,15:00:00,16:00:00,5.0,48,48,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,244.67,5.0,95.1,-1.9,VH18792
Medchal,15:00:00,16:00:00,12.0,81,61,8,11,24,Wednesday,Winter,HCV,0.34,2025-01-01,0,375.82,5.0,84.7,0.1,VH39194
L B Nagar,15:00:00,16:00:00,8.0,59,59,8,8,10,Wednesday,Winter,2W,0.2,2025-01-01,0,376.55,5.0,72.3,-2.4,VH02042
PVNR_Expressway,15:00:00,16:00:00,11.6,87,69,8,9,19,Wednesday,Winter,HCV,0.298,2025-01-01,0,471.27,5.0,87.3,-0.4,VH08612
HITEC_City_Main_Road,15:00:00,16:00:00,8.5,56,52,9,9,10,Wednesday,Winter,4W,0.2,2025-01-01,0,291.67,5.0,93.4,-2.2,VH39982
Kompally,16:00:00,17:00:00,6.0,93,48,3,7,48,Wednesday,Winter,2W,0.581,2025-01-01,0,295.22,5.0,74.5,2.4,VH00323
Gachibowli,16:00:00,17:00:00,7.5,59,59,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,421.19,5.0,75.0,-2.3,VH10317
Uppal,16:00:00,17:00:00,15.0,55,55,16,16,10,Wednesday,Winter,4W,0.2,2025-01-01,0,656.04,5.0,89.7,-4.9,VH28694
Mehdipatnam,16:00:00,17:00:00,5.0,49,49,6,6,10,Wednesday,Winter,2W,0.2,2025-01-01,0,68.83,5.0,90.4,-1.8,VH12507
Medchal,16:00:00,17:00:00,12.0,89,60,8,11,31,Wednesday,Winter,4W,0.42,2025-01-01,0,118.51,5.0,89.6,1.4,VH38075
L B Nagar,16:00:00,17:00:00,8.0,46,46,10,10,10,Wednesday,Winter,4W,0.2,2025-01-01,0,368.73,5.0,72.6,-3.1,VH36928
PVNR_Expressway,16:00:00,17:00:00,11.6,86,46,8,15,46,Wednesday,Winter,2W,0.561,2025-01-01,0,578.59,5.0,72.0,4.5,VH38272
HITEC_City_Main_Road,16:00:00,17:00:00,8.5,59,59,8,8,10,Wednesday,Winter,2W,0.2,2025-01-01,0,316.53,5.0,97.5,-2.6,VH01872
Kompally,17:00:00,18:00:00,6.0,85,64,4,5,23,Wednesday,Winter,HCV,0.338,2025-01-01,1,218.18,5.0,88.1,0.1,VH04539
Gachibowli,17:00:00,18:00:00,7.5,58,26,7,17,54,Wednesday,Winter,4W,0.645,2025-01-01,1,476.37,5.0,74.7,7.0,VH32670
Uppal,17:00:00,18:00:00,15.0,53,24,16,36,53,Wednesday,Winter,2W,0.636,2025-01-01,1,734.13,5.0,68.6,14.6,VH12413
Mehdipatnam,17:00:00,18:00:00,5.0,58,25,5,11,56,Wednesday,Winter,4W,0.661,2025-01-01,1,303.96,5.0,84.5,5.0,VH02518
Medchal,17:00:00,18:00:00,12.0,85,64,8,11,23,Wednesday,Winter,4W,0.337,2025-01-01,1,561.04,5.0,81.0,0.1,VH31516
L B Nagar,17:00:00,18:00:00,8.0,56,26,8,17,52,Wednesday,Winter,2W,0.622,2025-01-01,1,420.45,5.0,80.2,6.8,VH01219
PVNR_Expressway,17:00:00,18:00:00,11.6,88,61,7,11,29,Wednesday,Winter,HCV,0.396,2025-01-01,1,418.62,5.0,92.6,1.0,VH08445
HITEC_City_Main_Road,17:00:00,18:00:00,8.5,69,37,7,13,45,Wednesday,Winter,3W,0.552,2025-01-01,1,480.36,5.0,72.6,3.9,VH39799
Kompally,18:00:00,19:00:00,6.0,90,69,4,5,22,Wednesday,Winter,HCV,0.329,2025-01-01,1,245.5,5.0,88.4,-0.0,VH39093
Gachibowli,18:00:00,19:00:00,7.5,63,42,7,10,32,Wednesday,Winter,4W,0.429,2025-01-01,1,439.59,5.0,77.4,1.4,VH30719
Uppal,18:00:00,19:00:00,15.0,46,29,19,30,36,Wednesday,Winter,4W,0.461,2025-01-01,1,765.21,5.0,89.8,5.2,VH09538
Mehdipatnam,18:00:00,19:00:00,5.0,45,21,6,14,53,Wednesday,Winter,2W,0.631,2025-01-01,1,399.14,5.0,65.9,5.5,VH30237
Medchal,18:00:00,19:00:00,12.0,84,62,8,11,25,Wednesday,Winter,HCV,0.351,2025-01-01,1,373.59,5.0,84.6,0.3,VH11925
L B Nagar,18:00:00,19:00:00,8.0,47,25,10,18,45,Wednesday,Winter,4W,0.559,2025-01-01,1,475.84,5.0,83.0,5.6,VH14852
PVNR_Expressway,18:00:00,19:00:00,11.6,83,67,8,10,18,Wednesday,Winter,HCV,0.286,2025-01-01,1,90.79,5.0,93.2,-0.6,VH03985
HITEC_City_Main_Road,18:00:00,19:00:00,8.5,59,36,8,14,38,Wednesday,Winter,4W,0.487,2025-01-01,1,459.54,5.0,66.9,2.9,VH15571
Kompally,19:00:00,20:00:00,6.0,88,66,4,5,24,Wednesday,Winter,4W,0.344,2025-01-01,1,270.11,5.0,90.9,0.1,VH22845
Gachibowli,19:00:00,20:00:00,7.5,69,26,6,16,60,Wednesday,Winter,4W,0.71,2025-01-01,1,483.34,5.0,65.7,8.2,VH07111
Uppal,19:00:00,20:00:00,15.0,58,38,15,23,34,Wednesday,Winter,HCV,0.443,2025-01-01,1,635.62,5.0,73.0,3.4,VH02234
Mehdipatnam,19:00:00,20:00:00,5.0,55,28,5,10,48,Wednesday,Winter,4W,0.588,2025-01-01,1,166.27,5.0,74.6,3.6,VH08586
Medchal,19:00:00,20:00:00,12.0,82,59,8,12,27,Wednesday,Winter,HCV,0.37,2025-01-01,1,434.08,5.0,93.2,0.6,VH01906
L B Nagar,19:00:00,20:00:00,8.0,56,26,8,18,53,Wednesday,Winter,2W,0.632,2025-01-01,1,556.19,5.0,58.5,7.2,VH02102
PVNR_Expressway,19:00:00,20:00:00,11.6,86,64,8,10,25,Wednesday,Winter,4W,0.352,2025-01-01,1,505.97,5.0,92.5,0.3,VH13963
HITEC_City_Main_Road,19:00:00,20:00:00,8.5,61,44,8,11,26,Wednesday,Winter,2W,0.368,2025-01-01,1,457.74,5.0,72.8,0.6,VH38386
Kompally,20:00:00,21:00:00,6.0,89,54,4,6,38,Wednesday,Winter,HCV,0.484,2025-01-01,1,380.42,5.0,64.4,1.3,VH00070
Gachibowli,20:00:00,21:00:00,7.5,56,31,8,14,43,Wednesday,Winter,4W,0.54,2025-01-01,1,307.95,5.0,89.0,3.9,VH23467
Uppal,20:00:00,21:00:00,15.0,57,29,15,30,48,Wednesday,Winter,4W,0.583,2025-01-01,1,662.76,5.0,81.1,10.0,VH37204
Mehdipatnam,20:00:00,21:00:00,5.0,59,20,5,14,65,Wednesday,Winter,2W,0.757,2025-01-01,1,407.27,5.0,60.8,8.2,VH28153
Medchal,20:00:00,21:00:00,12.0,90,62,8,11,30,Wednesday,Winter,HCV,0.403,2025-01-01,1,482.66,5.0,68.6,1.1,VH07009
L B Nagar,20:00:00,21:00:00,8.0,49,23,9,20,51,Wednesday,Winter,HCV,0.616,2025-01-01,1,540.83,5.0,69.2,7.5,VH38762
PVNR_Expressway,20:00:00,21:00:00,11.6,92,55,7,12,40,Wednesday,Winter,HCV,0.5,2025-01-01,1,502.91,5.0,85.6,2.8,VH37847
HITEC_City_Main_Road,20:00:00,21:00:00,8.5,61,37,8,13,37,Wednesday,Winter,3W,0.479,2025-01-01,1,475.03,5.0,60.4,2.6,VH06070
