location,latitude,longitude,timestamp,date,season,temp_c,rain_mm,humidity,visibility_km,is_raining
PVNR_Expressway,17.375,78.434,2025-01-01 05:00:00,2025-01-01,Winter,24.4,0.0,56,2.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 05:00:00,2025-01-01,Winter,26.8,0.0,49,2.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 06:00:00,2025-01-01,Winter,25.7,0.0,56,2.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 06:00:00,2025-01-01,Winter,22.8,0.0,58,2.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 06:00:00,2025-01-01,Winter,23.2,0.0,55,2.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 06:00:00,2025-01-01,Winter,25.3,0.0,62,2.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 06:00:00,2025-01-01,Winter,24.2,0.0,68,2.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 06:00:00,2025-01-01,Winter,26.3,0.0,55,2.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 06:00:00,2025-01-01,Winter,27.2,0.0,61,2.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 06:00:00,2025-01-01,Winter,24.8,0.0,57,2.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 07:00:00,2025-01-01,Winter,22.9,0.0,62,2.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 07:00:00,2025-01-01,Winter,23.5,0.0,67,2.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 07:00:00,2025-01-01,Winter,27.0,0.0,65,2.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 07:00:00,2025-01-01,Winter,23.3,0.0,65,2.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 07:00:00,2025-01-01,Winter,23.8,0.0,65,2.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 07:00:00,2025-01-01,Winter,23.5,0.0,58,2.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 07:00:00,2025-01-01,Winter,23.4,0.0,52,2.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 07:00:00,2025-01-01,Winter,21.0,0.0,60,2.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 08:00:00,2025-01-01,Winter,21.0,0.0,58,2.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 08:00:00,2025-01-01,Winter,20.0,0.0,63,2.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 08:00:00,2025-01-01,Winter,25.0,0.0,65,2.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 08:00:00,2025-01-01,Winter,24.3,0.0,55,2.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 08:00:00,2025-01-01,Winter,20.3,0.0,60,2.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 08:00:00,2025-01-01,Winter,23.2,0.0,67,2.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 08:00:00,2025-01-01,Winter,21.7,0.0,64,2.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 08:00:00,2025-01-01,Winter,21.1,0.0,59,2.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 09:00:00,2025-01-01,Winter,21.7,0.0,52,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 09:00:00,2025-01-01,Winter,20.4,0.0,62,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 09:00:00,2025-01-01,Winter,22.9,0.0,59,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 09:00:00,2025-01-01,Winter,21.7,0.0,64,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 09:00:00,2025-01-01,Winter,21.7,0.0,56,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 09:00:00,2025-01-01,Winter,21.2,0.0,58,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 09:00:00,2025-01-01,Winter,21.4,0.0,59,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 09:00:00,2025-01-01,Winter,19.1,0.0,55,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 10:00:00,2025-01-01,Winter,19.0,0.0,52,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 10:00:00,2025-01-01,Winter,19.0,0.0,58,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 10:00:00,2025-01-01,Winter,20.8,0.0,61,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 10:00:00,2025-01-01,Winter,22.5,0.0,65,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 10:00:00,2025-01-01,Winter,19.6,0.0,60,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 10:00:00,2025-01-01,Winter,22.0,0.0,55,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 10:00:00,2025-01-01,Winter,21.0,0.0,59,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 10:00:00,2025-01-01,Winter,21.2,0.0,65,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 11:00:00,2025-01-01,Winter,18.5,0.0,57,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 11:00:00,2025-01-01,Winter,18.7,0.0,57,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 11:00:00,2025-01-01,Winter,21.3,0.0,63,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 11:00:00,2025-01-01,Winter,19.4,0.0,51,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 11:00:00,2025-01-01,Winter,18.9,0.0,60,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 11:00:00,2025-01-01,Winter,18.5,0.0,55,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 11:00:00,2025-01-01,Winter,18.4,0.0,65,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 11:00:00,2025-01-01,Winter,17.5,0.0,66,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 12:00:00,2025-01-01,Winter,18.5,0.0,61,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 12:00:00,2025-01-01,Winter,17.0,0.0,64,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 12:00:00,2025-01-01,Winter,18.3,0.0,65,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 12:00:00,2025-01-01,Winter,19.6,0.0,59,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 12:00:00,2025-01-01,Winter,16.0,0.0,62,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 12:00:00,2025-01-01,Winter,20.6,0.0,58,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 12:00:00,2025-01-01,Winter,19.5,0.0,66,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 12:00:00,2025-01-01,Winter,18.1,0.0,60,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 13:00:00,2025-01-01,Winter,17.6,0.0,62,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 13:00:00,2025-01-01,Winter,14.3,0.0,64,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 13:00:00,2025-01-01,Winter,18.4,0.0,64,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 13:00:00,2025-01-01,Winter,16.7,0.0,53,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 13:00:00,2025-01-01,Winter,16.9,0.0,55,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 13:00:00,2025-01-01,Winter,17.8,0.0,53,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 13:00:00,2025-01-01,Winter,16.5,0.0,68,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 13:00:00,2025-01-01,Winter,18.2,0.0,55,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 14:00:00,2025-01-01,Winter,18.0,0.0,57,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 14:00:00,2025-01-01,Winter,15.9,0.0,53,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 14:00:00,2025-01-01,Winter,18.7,0.0,60,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 14:00:00,2025-01-01,Winter,21.2,0.0,58,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 14:00:00,2025-01-01,Winter,17.9,0.0,53,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 14:00:00,2025-01-01,Winter,19.3,0.0,56,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 14:00:00,2025-01-01,Winter,17.9,0.0,57,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 14:00:00,2025-01-01,Winter,18.0,0.0,56,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 15:00:00,2025-01-01,Winter,15.9,0.0,60,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 15:00:00,2025-01-01,Winter,18.8,0.0,60,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 15:00:00,2025-01-01,Winter,19.6,0.0,52,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 15:00:00,2025-01-01,Winter,14.9,0.0,63,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 15:00:00,2025-01-01,Winter,16.5,0.0,61,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 15:00:00,2025-01-01,Winter,17.6,0.0,67,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 15:00:00,2025-01-01,Winter,18.9,0.0,62,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 15:00:00,2025-01-01,Winter,16.1,0.0,63,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 16:00:00,2025-01-01,Winter,15.7,0.0,61,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 16:00:00,2025-01-01,Winter,19.9,0.0,67,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 16:00:00,2025-01-01,Winter,18.3,0.0,65,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 16:00:00,2025-01-01,Winter,20.5,0.0,61,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 16:00:00,2025-01-01,Winter,20.8,0.0,58,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 16:00:00,2025-01-01,Winter,18.9,0.0,58,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 16:00:00,2025-01-01,Winter,17.9,0.0,58,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 16:00:00,2025-01-01,Winter,16.7,0.0,56,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 17:00:00,2025-01-01,Winter,17.1,0.0,58,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 17:00:00,2025-01-01,Winter,21.7,0.0,67,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 17:00:00,2025-01-01,Winter,16.9,0.0,51,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 17:00:00,2025-01-01,Winter,20.5,0.0,60,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 17:00:00,2025-01-01,Winter,18.2,0.0,56,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 17:00:00,2025-01-01,Winter,19.1,0.0,57,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 17:00:00,2025-01-01,Winter,18.7,0.0,60,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 17:00:00,2025-01-01,Winter,21.5,0.0,55,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 18:00:00,2025-01-01,Winter,18.4,0.0,62,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 18:00:00,2025-01-01,Winter,17.8,0.0,59,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 18:00:00,2025-01-01,Winter,22.1,0.0,50,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 18:00:00,2025-01-01,Winter,21.1,0.0,52,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 18:00:00,2025-01-01,Winter,16.9,0.0,57,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 18:00:00,2025-01-01,Winter,20.1,0.0,59,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 18:00:00,2025-01-01,Winter,20.3,0.0,70,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 18:00:00,2025-01-01,Winter,20.2,0.0,63,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 19:00:00,2025-01-01,Winter,19.5,0.0,62,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 19:00:00,2025-01-01,Winter,22.3,0.0,59,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 19:00:00,2025-01-01,Winter,19.5,0.0,71,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 19:00:00,2025-01-01,Winter,20.9,0.0,55,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 19:00:00,2025-01-01,Winter,19.1,0.0,65,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 19:00:00,2025-01-01,Winter,22.3,0.0,60,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 19:00:00,2025-01-01,Winter,19.1,0.0,68,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 19:00:00,2025-01-01,Winter,21.3,0.0,59,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 20:00:00,2025-01-01,Winter,24.4,0.0,57,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 20:00:00,2025-01-01,Winter,21.0,0.0,53,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 20:00:00,2025-01-01,Winter,23.5,0.0,52,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 20:00:00,2025-01-01,Winter,23.4,0.0,58,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 20:00:00,2025-01-01,Winter,21.6,0.0,53,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 20:00:00,2025-01-01,Winter,22.5,0.0,51,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 20:00:00,2025-01-01,Winter,22.5,0.0,62,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 20:00:00,2025-01-01,Winter,21.1,0.0,58,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 21:00:00,2025-01-01,Winter,21.1,0.0,63,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 21:00:00,2025-01-01,Winter,24.0,0.0,63,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 21:00:00,2025-01-01,Winter,24.7,0.0,59,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 21:00:00,2025-01-01,Winter,24.8,0.0,47,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 21:00:00,2025-01-01,Winter,25.9,0.0,66,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 21:00:00,2025-01-01,Winter,23.1,0.0,56,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 21:00:00,2025-01-01,Winter,21.5,0.0,63,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 21:00:00,2025-01-01,Winter,24.3,0.0,62,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 22:00:00,2025-01-01,Winter,22.7,0.0,60,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 22:00:00,2025-01-01,Winter,24.2,0.0,61,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 22:00:00,2025-01-01,Winter,22.2,0.0,71,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 22:00:00,2025-01-01,Winter,28.2,0.0,60,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 22:00:00,2025-01-01,Winter,26.4,0.0,60,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 22:00:00,2025-01-01,Winter,27.5,0.0,62,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 22:00:00,2025-01-01,Winter,21.8,0.0,54,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 22:00:00,2025-01-01,Winter,22.9,0.0,54,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 23:00:00,2025-01-01,Winter,27.1,0.0,55,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 23:00:00,2025-01-01,Winter,25.5,0.0,67,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 23:00:00,2025-01-01,Winter,27.9,0.0,64,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 23:00:00,2025-01-01,Winter,25.1,0.0,52,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 23:00:00,2025-01-01,Winter,25.4,0.0,59,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 23:00:00,2025-01-01,Winter,26.4,0.0,61,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 23:00:00,2025-01-01,Winter,25.1,0.0,60,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 23:00:00,2025-01-01,Winter,25.7,0.0,67,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-02 00:00:00,2025-01-02,Winter,24.2,0.0,64,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-02 00:00:00,2025-01-02,Winter,26.7,0.0,67,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-02 00:00:00,2025-01-02,Winter,28.0,0.0,58,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-02 00:00:00,2025-01-02,Winter,25.3,0.0,64,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-02 00:00:00,2025-01-02,Winter,24.9,0.0,67,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-02 00:00:00,2025-01-02,Winter,31.9,0.0,60,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-02 00:00:00,2025-01-02,Winter,28.1,0.0,49,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-02 00:00:00,2025-01-02,Winter,29.1,0.0,65,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-02 01:00:00,2025-01-02,Winter,25.9,0.0,63,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-02 01:00:00,2025-01-02,Winter,26.9,0.0,64,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-02 01:00:00,2025-01-02,Winter,26.4,0.0,59,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-02 01:00:00,2025-01-02,Winter,25.1,0.0,57,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-02 01:00:00,2025-01-02,Winter,28.1,0.0,57,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-02 01:00:00,2025-01-02,Winter,24.8,0.0,55,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-02 01:00:00,2025-01-02,Winter,26.4,0.0,54,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-02 01:00:00,2025-01-02,Winter,25.2,0.0,59,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-02 02:00:00,2025-01-02,Winter,28.8,0.0,46,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-02 02:00:00,2025-01-02,Winter,25.8,0.0,53,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-02 02:00:00,2025-01-02,Winter,27.1,0.0,63,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-02 02:00:00,2025-01-02,Winter,26.9,0.0,53,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-02 02:00:00,2025-01-02,Winter,28.2,0.0,58,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-02 02:00:00,2025-01-02,Winter,27.5,0.0,62,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-02 02:00:00,2025-01-02,Winter,25.2,0.0,62,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-02 02:00:00,2025-01-02,Winter,23.8,0.0,65,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-02 03:00:00,2025-01-02,Winter,29.9,0.0,62,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-02 03:00:00,2025-01-02,Winter,27.3,0.0,54,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-02 03:00:00,2025-01-02,Winter,29.6,0.0,61,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-02 03:00:00,2025-01-02,Winter,27.6,0.0,62,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-02 03:00:00,2025-01-02,Winter,27.2,0.0,67,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-02 03:00:00,2025-01-02,Winter,27.3,0.0,60,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-02 03:00:00,2025-01-02,Winter,28.1,0.0,64,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-02 03:00:00,2025-01-02,Winter,27.7,0.0,64,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-02 04:00:00,2025-01-02,Winter,28.6,0.0,62,2.0,0
